system_call,frequency,file_frequency
epoll_pwait,280487,138
recvfrom,332546,132
sendto,284711,130
getuid,202436,138
write,337837,132
read,422780,137
ioctl,366003,138
madvise,49741,129
writev,48309,147
epoll_ctl,11567,129
dup,9723,131
fcntl,8921,128
close,33402,137
sched_yield,1257,60
mprotect,11117,135
futex,14344,134
faccessat,1050,89
openat,12098,128
fstat,3854,98
mmap,30391,133
prctl,1649,101
readlinkat,89,59
munmap,18866,134
pread,45901,129
rt_sigprocmask,36970,129
newfstatat,6159,115
lseek,3049,27
mkdirat,31,25
fchmodat,363,63
clone,877,96
rt_sigreturn,55,35
fsync,198,42
renameat,202,32
unlinkat,211,32
getdents64,84,14
rt_sigaction,18,10
geteuid,412,17
pwrite,433,11
setpriority,24,13
getrlimit,12,11
socketpair,19,13
sendmsg,89,25
fdatasync,153,9
socket,95,18
setsockopt,71,16
connect,60,17
bind,32,15
getsockname,64,15
getsockopt,45,16
ppoll,18,10
clock_gettime,199,13
statfs,3,3
getpriority,11,3
shutdown,5,1
pipe2,334,2
wait4,26,1
